CustomerID,Age,Gender,IncomeLevel,Occupation,GeographicLocation,AccountType,NumberOfAccounts,AverageBalance,TransactionVolume,DepositPatterns,SpendingPatterns,ChannelUsage,EngagementFrequency,ServiceUsage,RevenueContribution,CostToServe,LifetimeValue,ChurnRate,CreditScore,LoanRepaymentHistory,DebtToIncomeRatio,AgeGroup,IncomeGroup,HighValueCustomer,TransactionToBalanceRatio,DebtToIncomeCategory,ChurnRiskCategory,Cluster,PreferredChannels,ContentType
13,41,Female,49011,Professional,Central,Checking,4,33029,386,9707,1749,Mobile,18,Yes,16964,2393,92664,0.5465886280335965,700,Poor,0.5023789962646786,41-50,40K-60K,True,0.0116866995670471,41-60%,Medium,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
14,53,Male,122811,Unemployed,South,Checking,1,19889,448,4709,2741,Mobile,22,No,5821,906,91929,0.18694464830297,536,Average,0.0956186863591238,51-60,100K-150K,True,0.0225250138267383,0-20%,Very Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
15,57,Male,54764,Professional,North,Savings,3,45774,176,8731,2873,Online,22,Yes,1396,256,81718,0.0180198557841509,311,Good,0.1621834266971569,51-60,40K-60K,True,0.003844977498143,0-20%,Very Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
16,41,Male,117540,Unemployed,North,Savings,3,12711,127,8730,3940,Online,16,No,7548,3833,10584,0.3518090301001291,420,Good,0.168978380007181,41-50,100K-150K,False,0.0099913460781999,0-20%,Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
17,20,Female,73533,Unemployed,South,Checking,1,25142,293,6874,423,Branch,1,No,17570,3478,52592,0.7677356397334916,429,Average,0.3036602886867262,18-30,60K-80K,True,0.0116538063797629,21-40%,High,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
18,39,Male,44064,Self-Employed,South,Checking,3,36455,454,5416,1638,Branch,14,Yes,8195,1927,52616,0.2503838206599108,477,Poor,0.3716746344522473,31-40,40K-60K,True,0.0124537100534906,21-40%,Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
19,19,Female,143989,Professional,Central,Checking,3,4156,214,5574,555,Online,25,Yes,18305,4068,50068,0.291733572103141,518,Good,0.4643775162051422,18-30,100K-150K,False,0.0514918190567853,41-60%,Low,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
20,41,Female,147825,Retired,South,Savings,3,17959,498,7481,7020,Mobile,18,No,5425,4657,22152,0.1200815598865822,691,Average,0.5802315941580484,41-50,100K-150K,False,0.0277298290550698,41-60%,Very Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
21,61,Male,69581,Unemployed,East,Savings,1,28921,411,9422,1461,Online,20,Yes,14000,2936,51298,0.7091261264043928,391,Average,0.7871728752047422,61-70,60K-80K,True,0.0142111268628332,61-80%,High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
22,47,Female,140388,Unemployed,North,Checking,2,12039,68,7475,7592,Online,16,No,16558,2794,73384,0.2865961181490967,462,Good,0.2669192292656247,41-50,100K-150K,True,0.0056483096602707,21-40%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
23,55,Male,48702,Student,South,Savings,3,34170,394,8920,1913,Online,25,Yes,14096,1527,37744,0.6285231781427951,782,Good,0.3362177084709781,51-60,40K-60K,False,0.0115305823822066,21-40%,High,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
24,19,Female,105701,Self-Employed,East,Savings,4,9444,67,3116,712,Online,23,Yes,18604,2240,11439,0.5241406843751518,783,Good,0.7692863761649359,18-30,100K-150K,False,0.0070944515036001,61-80%,Medium,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
25,38,Female,143482,Retired,South,Savings,2,2629,386,7175,6650,Online,19,Yes,11591,3860,33747,0.9926552940923874,845,Good,0.5712780931739558,31-40,100K-150K,False,0.1468238874096614,41-60%,Very High,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
26,50,Male,28631,Unemployed,East,Checking,2,25352,431,3180,4787,Branch,26,No,3193,4782,42575,0.9463090273554928,665,Good,0.7204779134474546,41-50,20K-40K,False,0.017000631113916,61-80%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
27,29,Female,143864,Student,West,Savings,3,49061,413,4337,7752,Mobile,2,Yes,4007,1331,9521,0.3941840763148077,660,Good,0.668455777595715,18-30,100K-150K,False,0.008418091763315,61-80%,Low,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
28,39,Female,107388,Professional,East,Savings,3,36477,471,6061,2639,Branch,27,Yes,15689,3005,3936,0.8021845699297089,549,Poor,0.1830120330186665,31-40,100K-150K,False,0.0129122460728678,0-20%,Very High,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
29,61,Female,144798,Unemployed,Central,Checking,2,49492,12,3852,6794,Branch,9,No,17238,2022,88702,0.4068294923661697,811,Good,0.584988902004859,61-70,100K-150K,True,0.0002424634284328,41-60%,Medium,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
30,42,Female,90043,Student,East,Checking,3,46724,249,3583,6781,Online,13,No,15642,1188,42161,0.2697672230846676,617,Good,0.8432361006978001,41-50,80K-100K,False,0.0053291670233712,81-100%,Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
31,66,Female,86063,Professional,South,Savings,1,22207,169,8996,9306,Branch,18,Yes,15370,3888,3525,0.0145861070578533,613,Average,0.989158368561064,61-70,80K-100K,False,0.0076102129959021,81-100%,Very Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
32,44,Female,48981,Self-Employed,West,Checking,1,12523,478,1023,3435,Mobile,20,No,5902,1315,77535,0.7187805529078048,401,Poor,0.0775348263139371,41-50,40K-60K,True,0.0381697676275652,0-20%,High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
33,59,Female,55764,Professional,West,Checking,3,31129,97,9657,9784,Mobile,2,Yes,11525,1651,13158,0.2802241601175401,616,Average,0.2874674123305981,51-60,40K-60K,False,0.0031160654052491,21-40%,Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
34,45,Female,121771,Unemployed,East,Savings,2,5043,447,7959,1175,Mobile,7,No,16942,2524,39400,0.4808075021523245,384,Good,0.0057860646211064,41-50,100K-150K,False,0.0886377156454491,0-20%,Medium,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
35,33,Male,148787,Retired,South,Checking,3,36427,288,1655,6113,Online,22,No,7586,2509,71511,0.1653760463509852,786,Poor,0.1783629740400846,31-40,100K-150K,True,0.0079062234057155,0-20%,Very Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
36,32,Male,70513,Professional,West,Checking,4,6241,313,5160,7673,Branch,13,Yes,4570,2870,80759,0.0651501577278456,705,Poor,0.6670112972850182,31-40,60K-80K,True,0.0501522191956417,61-80%,Very Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
37,64,Female,141505,Retired,East,Savings,1,17003,380,3727,3657,Online,8,No,7627,3137,25978,0.7474468084995278,583,Poor,0.4510379428250813,61-70,100K-150K,False,0.0223489972357819,41-60%,High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
38,68,Female,149014,Retired,East,Savings,2,47596,203,4181,2715,Branch,3,No,406,343,59273,0.293119646337755,804,Good,0.5631463812507616,61-70,100K-150K,True,0.0042650642911169,41-60%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
39,61,Male,133076,Professional,East,Savings,4,42938,128,5919,6798,Branch,14,Yes,15158,4379,17976,0.2549973434742942,376,Good,0.0809360476960177,61-70,100K-150K,False,0.0029810424332758,0-20%,Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
40,69,Female,119007,Self-Employed,West,Checking,3,4816,59,2117,5776,Mobile,23,Yes,15939,660,27683,0.2592152762711965,658,Poor,0.4271934028219196,61-70,100K-150K,False,0.012250830564784,41-60%,Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
41,20,Male,86198,Professional,North,Savings,1,20110,424,4290,9617,Branch,8,Yes,804,479,2072,0.104263060484776,828,Good,0.194837259741027,18-30,80K-100K,False,0.0210840377921432,0-20%,Very Low,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
42,54,Male,44940,Student,South,Checking,4,1568,194,8653,8148,Mobile,1,No,14002,4829,66116,0.031786607531033,331,Good,0.6886619783085908,51-60,40K-60K,True,0.1237244897959183,61-80%,Very Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
43,68,Male,127418,Retired,Central,Savings,2,46598,147,7914,132,Online,24,Yes,12819,989,98762,0.1861225163351277,751,Average,0.420131492195005,61-70,100K-150K,True,0.0031546418301214,41-60%,Very Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
44,24,Female,91792,Unemployed,Central,Savings,1,5105,314,5825,5346,Branch,27,No,11040,4777,7203,0.800363261304387,534,Average,0.6598119837470925,18-30,80K-100K,False,0.0615083251714005,61-80%,Very High,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
45,38,Female,48432,Retired,South,Checking,3,46212,321,5785,9922,Branch,11,Yes,8344,3807,95747,0.9808807431332351,605,Poor,0.1218626111827337,31-40,40K-60K,True,0.0069462477278628,0-20%,Very High,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
46,26,Female,28367,Unemployed,North,Checking,3,36540,101,3765,2943,Mobile,1,No,16788,2073,67124,0.5147302473675459,457,Poor,0.1145987787477705,18-30,20K-40K,True,0.0027640941434044,0-20%,Medium,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
47,56,Male,131764,Student,South,Savings,1,46196,314,1904,2497,Branch,11,Yes,5343,2302,99947,0.8055228500085081,415,Good,0.5861448095824462,51-60,100K-150K,True,0.006797125292233,41-60%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
48,35,Male,123601,Student,East,Checking,4,5054,201,8961,7109,Mobile,6,Yes,12555,2344,15515,0.2551422045839697,756,Poor,0.8916822090185652,31-40,100K-150K,False,0.0397704788286505,81-100%,Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
49,21,Male,45511,Student,South,Savings,1,28262,289,6008,7348,Online,11,Yes,15401,1906,53385,0.6840323064889765,613,Average,0.7456292048091713,18-30,40K-60K,True,0.0102257448163611,61-80%,High,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
50,42,Female,28573,Professional,South,Checking,1,25261,85,899,2838,Branch,18,Yes,7717,1870,97212,0.891039693128181,458,Poor,0.8047059553265544,41-50,20K-40K,True,0.0033648707493765,81-100%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
51,31,Male,35582,Retired,West,Savings,1,21382,113,232,6790,Online,28,Yes,7136,1075,30199,0.6170866969807648,447,Good,0.1994637788774806,31-40,20K-40K,False,0.0052848190066411,0-20%,High,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
52,67,Male,25378,Unemployed,Central,Savings,4,33904,287,3533,592,Online,9,Yes,2811,880,89403,0.7012557191240483,793,Average,0.5089019950401829,61-70,20K-40K,True,0.0084650778669183,41-60%,High,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
53,26,Female,85296,Student,Central,Checking,1,22170,213,6592,9024,Mobile,26,Yes,10411,2690,70477,0.1002546006725606,393,Average,0.8844815304573834,18-30,80K-100K,True,0.0096075778078484,81-100%,Very Low,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
54,43,Male,33500,Student,East,Savings,2,31295,119,8838,7453,Mobile,13,No,14564,4899,28300,0.3572705462040662,374,Poor,0.9364309213348824,41-50,20K-40K,False,0.0038025243649145,81-100%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
55,19,Male,85841,Unemployed,East,Savings,3,26999,456,9054,7395,Branch,10,Yes,18192,1443,7230,0.0309642910818922,769,Poor,0.0570357948023635,18-30,80K-100K,False,0.0168895144264602,0-20%,Very Low,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
56,37,Female,41881,Retired,West,Checking,4,32162,245,5778,8186,Online,10,No,7164,1960,23453,0.1662485660434882,317,Good,0.1594779332353306,31-40,40K-60K,False,0.0076176854673216,0-20%,Very Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
57,45,Female,90233,Retired,East,Checking,2,38539,400,6024,369,Mobile,3,Yes,14732,4547,22538,0.2976039721652219,629,Good,0.1032375318176173,41-50,80K-100K,False,0.0103790964996497,0-20%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
58,64,Male,71542,Unemployed,North,Savings,1,18920,386,1167,2971,Branch,4,No,2966,2361,94366,0.9532785673644588,836,Average,0.1694635343058353,61-70,60K-80K,True,0.0204016913319238,0-20%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
59,24,Female,85285,Self-Employed,West,Checking,2,36092,283,1401,5116,Online,10,No,14016,589,71277,0.0405480784666584,737,Poor,0.1573459698299502,18-30,80K-100K,True,0.0078410728139199,0-20%,Very Low,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
60,61,Male,79547,Retired,West,Savings,4,45715,310,6074,3662,Branch,21,Yes,4355,1155,78950,0.4517356424337578,716,Poor,0.4745727223206842,61-70,60K-80K,True,0.0067811440446243,41-60%,Medium,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
61,25,Female,82151,Unemployed,South,Savings,3,43339,335,9626,8234,Online,19,No,789,1009,55119,0.7714343195912199,586,Poor,0.3345960147399214,18-30,80K-100K,True,0.0077297584162071,21-40%,High,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
62,64,Male,27222,Unemployed,South,Checking,4,10124,488,7504,2289,Online,23,Yes,218,4781,51112,0.5071303995675419,762,Average,0.0805323554009913,61-70,20K-40K,True,0.048202291584354,0-20%,Medium,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
63,52,Female,27933,Student,North,Savings,1,13037,208,8557,1661,Branch,18,Yes,2955,3105,41681,0.5862587948760413,760,Good,0.3224923796753824,51-60,20K-40K,False,0.0159545907800874,21-40%,Medium,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
64,31,Male,103385,Unemployed,West,Savings,1,49781,205,1339,843,Online,7,Yes,195,2900,18913,0.9334963930762062,777,Average,0.900662814707837,31-40,100K-150K,False,0.004118037002069,81-100%,Very High,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
65,34,Female,109772,Professional,West,Savings,3,8260,348,216,5891,Mobile,21,No,16260,741,29674,0.6512456382213069,305,Good,0.4626030274098577,31-40,100K-150K,False,0.0421307506053268,41-60%,High,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
66,53,Female,129767,Student,South,Savings,4,40552,470,7523,9664,Branch,25,No,2650,963,68116,0.7575247763591286,689,Poor,0.735266969846582,51-60,100K-150K,True,0.0115900572104951,61-80%,High,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
67,67,Female,118706,Student,Central,Savings,4,41071,159,8023,2379,Online,2,No,19381,3629,55450,0.0394933564323631,734,Average,0.2401925850457733,61-70,100K-150K,True,0.0038713447444668,21-40%,Very Low,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
68,57,Female,98437,Retired,Central,Checking,4,15446,319,8115,2590,Online,25,Yes,18617,3485,46134,0.7956499967618699,730,Poor,0.465890678873252,51-60,80K-100K,False,0.0206525961413958,41-60%,High,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
69,21,Female,26940,Self-Employed,South,Checking,2,10259,269,2074,5802,Online,9,No,1356,325,2021,0.4220597543863043,723,Good,0.8835705099434549,18-30,20K-40K,False,0.0262208792279949,81-100%,Medium,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
70,19,Female,134326,Retired,East,Savings,3,28514,293,2581,8604,Online,8,Yes,1018,4768,46768,0.0198247597944218,500,Good,0.8964973297613632,18-30,100K-150K,False,0.0102756540646699,81-100%,Very Low,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
71,23,Female,104590,Professional,West,Checking,4,17594,74,7207,8492,Online,21,No,3276,2796,88137,0.8495732333375542,465,Average,0.1498781778169984,18-30,100K-150K,True,0.0042059793111287,0-20%,Very High,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
72,59,Male,126399,Student,North,Checking,3,11582,183,4429,8294,Branch,3,Yes,11848,3445,93184,0.9566430309901548,578,Poor,0.3358939004772326,51-60,100K-150K,True,0.0158003798998445,21-40%,Very High,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
73,21,Male,79145,Student,Central,Checking,2,40272,485,708,8195,Branch,12,Yes,18512,3787,12344,0.6033358789359624,368,Poor,0.3403751261389398,18-30,60K-80K,False,0.0120431068732618,21-40%,High,0,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
74,46,Female,63610,Unemployed,East,Checking,4,49458,172,629,5362,Mobile,28,No,18617,318,72222,0.888894912448014,374,Good,0.2914146339857667,41-50,60K-80K,True,0.0034776982490193,21-40%,Very High,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
75,35,Female,77520,Self-Employed,West,Savings,2,28382,10,7378,8428,Mobile,10,Yes,5027,966,98479,0.1945816616424305,488,Good,0.4141920657294287,31-40,60K-80K,True,0.0003523359875977,41-60%,Very Low,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
76,43,Male,24544,Self-Employed,East,Checking,1,46563,136,1976,9487,Branch,14,No,16276,3481,2797,0.6038535995248803,302,Average,0.466233276386775,41-50,20K-40K,False,0.0029207740051113,41-60%,High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
77,61,Male,110854,Unemployed,West,Checking,1,25807,263,1758,7860,Branch,29,No,2345,2576,46206,0.4494328453922691,460,Average,0.5290089976327388,61-70,100K-150K,False,0.0101910334405393,41-60%,Medium,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
78,51,Female,74812,Professional,West,Checking,1,18187,145,508,1279,Online,1,Yes,369,4328,50740,0.0365975647453512,420,Average,0.0424422828366828,51-60,60K-80K,False,0.0079727277725848,0-20%,Very Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
79,27,Male,91610,Self-Employed,South,Checking,3,19951,286,9602,9312,Mobile,26,No,767,4443,38257,0.6274204215574297,576,Average,0.2334731471166001,18-30,80K-100K,False,0.014335121046564,21-40%,High,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
80,53,Male,71500,Student,South,Checking,4,19531,294,317,2064,Mobile,19,Yes,514,3460,20688,0.5762612153159085,638,Good,0.6457003730013566,51-60,60K-80K,False,0.0150529926783062,61-80%,Medium,1,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
81,31,Female,59618,Professional,North,Checking,4,40164,209,2631,1904,Mobile,14,No,1808,3988,10213,0.0448504865030198,747,Average,0.6640987405837532,31-40,40K-60K,False,0.0052036649736082,61-80%,Very Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
82,48,Female,139090,Retired,North,Savings,2,16129,185,4308,149,Online,22,Yes,7382,3912,63805,0.2078455094553872,518,Poor,0.607501048650188,41-50,100K-150K,True,0.0114700229400458,61-80%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on retirement planning.
83,65,Female,119054,Retired,East,Checking,2,12042,51,7719,5641,Mobile,20,No,11878,3037,38708,0.2895255807872161,661,Good,0.2057591525988034,61-70,100K-150K,False,0.0042351768809167,21-40%,Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
84,32,Male,45444,Professional,South,Checking,1,2723,396,4356,9096,Online,6,No,6324,4733,42412,0.1948127926836415,375,Average,0.4175467053236158,31-40,40K-60K,False,0.1454278369445464,41-60%,Very Low,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
85,25,Female,105982,Student,West,Checking,3,42091,336,5289,7756,Online,16,No,16022,3235,38736,0.6502202984108292,568,Average,0.5250675987773479,18-30,100K-150K,False,0.0079827041410277,41-60%,High,1,"['Social Media', 'Mobile Apps', 'Online Platforms']",Educational content on financial literacy.
86,31,Female,114079,Retired,South,Checking,3,16595,140,9322,8707,Online,4,No,10827,1892,40307,0.5315812144210212,468,Good,0.173141981697474,31-40,100K-150K,False,0.0084362759867429,0-20%,Medium,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
87,40,Male,76586,Student,West,Savings,2,23748,407,9316,7707,Online,9,No,18258,4219,7742,0.3672108321618756,747,Good,0.9545198352305034,31-40,60K-80K,False,0.0171382853292908,81-100%,Low,0,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
88,57,Female,44789,Unemployed,South,Savings,2,44069,237,8137,1738,Branch,8,No,1812,2443,28824,0.4326015970498026,758,Poor,0.5437817155713308,51-60,40K-60K,False,0.0053779300642174,41-60%,Medium,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Guides on estate planning.
89,38,Male,21617,Self-Employed,West,Checking,4,26407,206,6342,9086,Mobile,26,No,17255,726,91158,0.9662030770780096,592,Average,0.064896953300306,31-40,20K-40K,True,0.0078009618661718,0-20%,Very High,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
90,33,Male,148639,Professional,East,Checking,4,29337,36,414,8854,Branch,6,No,19755,3610,60998,0.1119115395396865,538,Good,0.7768475120158763,31-40,100K-150K,True,0.0012271193373555,61-80%,Very Low,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
91,62,Male,120834,Self-Employed,South,Checking,2,9594,281,5253,2835,Mobile,10,Yes,8686,3161,90857,0.1871993621085421,375,Average,0.9982628910164149,61-70,100K-150K,True,0.0292891390452366,81-100%,Very Low,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
92,35,Male,23333,Unemployed,Central,Checking,4,23698,196,325,8107,Branch,28,No,16516,3404,24509,0.5380523671051772,758,Good,0.1477171560438288,31-40,20K-40K,False,0.0082707401468478,0-20%,Medium,1,"['Email', 'Online Platforms', 'In-Person Consultations']",Articles on investment strategies.
93,64,Male,60002,Retired,Central,Savings,2,39363,411,8770,5942,Online,24,No,8653,3186,29817,0.9776749281103366,352,Average,0.0299294507135857,61-70,60K-80K,False,0.010441277341666,0-20%,Very High,0,"['Traditional Media', 'Phone Calls', 'In-Person Visits']",Healthcare finance articles.
