CustomerID,Age,Gender,IncomeLevel,Occupation,GeographicLocation,AccountType,NumberOfAccounts,AverageBalance,TransactionVolume,DepositPatterns,SpendingPatterns,ChannelUsage,EngagementFrequency,ServiceUsage,RevenueContribution,CostToServe,LifetimeValue,ChurnRate,CreditScore,LoanRepaymentHistory,DebtToIncomeRatio,AgeGroup,IncomeGroup,HighValueCustomer,TransactionToBalanceRatio,DebtToIncomeCategory,ChurnRiskCategory,Cluster
55,19,Male,85841,Unemployed,East,Savings,3,26999,456,9054,7395,Branch,10,Yes,18192,1443,7230,0.0309642910818922,769,Poor,0.0570357948023635,18-30,80K-100K,False,0.0168895144264602,0-20%,Very Low,1
56,37,Female,41881,Retired,West,Checking,4,32162,245,5778,8186,Online,10,No,7164,1960,23453,0.1662485660434882,317,Good,0.1594779332353306,31-40,40K-60K,False,0.0076176854673216,0-20%,Very Low,1
60,61,Male,79547,Retired,West,Savings,4,45715,310,6074,3662,Branch,21,Yes,4355,1155,78950,0.4517356424337578,716,Poor,0.4745727223206842,61-70,60K-80K,True,0.0067811440446243,41-60%,Medium,1
61,25,Female,82151,Unemployed,South,Savings,3,43339,335,9626,8234,Online,19,No,789,1009,55119,0.7714343195912199,586,Poor,0.3345960147399214,18-30,80K-100K,True,0.0077297584162071,21-40%,High,1
62,64,Male,27222,Unemployed,South,Checking,4,10124,488,7504,2289,Online,23,Yes,218,4781,51112,0.5071303995675419,762,Average,0.0805323554009913,61-70,20K-40K,True,0.048202291584354,0-20%,Medium,1
65,34,Female,109772,Professional,West,Savings,3,8260,348,216,5891,Mobile,21,No,16260,741,29674,0.6512456382213069,305,Good,0.4626030274098577,31-40,100K-150K,False,0.0421307506053268,41-60%,High,1
66,53,Female,129767,Student,South,Savings,4,40552,470,7523,9664,Branch,25,No,2650,963,68116,0.7575247763591286,689,Poor,0.735266969846582,51-60,100K-150K,True,0.0115900572104951,61-80%,High,1
67,67,Female,118706,Student,Central,Savings,4,41071,159,8023,2379,Online,2,No,19381,3629,55450,0.0394933564323631,734,Average,0.2401925850457733,61-70,100K-150K,True,0.0038713447444668,21-40%,Very Low,1
68,57,Female,98437,Retired,Central,Checking,4,15446,319,8115,2590,Online,25,Yes,18617,3485,46134,0.7956499967618699,730,Poor,0.465890678873252,51-60,80K-100K,False,0.0206525961413958,41-60%,High,1
70,19,Female,134326,Retired,East,Savings,3,28514,293,2581,8604,Online,8,Yes,1018,4768,46768,0.0198247597944218,500,Good,0.8964973297613632,18-30,100K-150K,False,0.0102756540646699,81-100%,Very Low,1
71,23,Female,104590,Professional,West,Checking,4,17594,74,7207,8492,Online,21,No,3276,2796,88137,0.8495732333375542,465,Average,0.1498781778169984,18-30,100K-150K,True,0.0042059793111287,0-20%,Very High,1
72,59,Male,126399,Student,North,Checking,3,11582,183,4429,8294,Branch,3,Yes,11848,3445,93184,0.9566430309901548,578,Poor,0.3358939004772326,51-60,100K-150K,True,0.0158003798998445,21-40%,Very High,1
74,46,Female,63610,Unemployed,East,Checking,4,49458,172,629,5362,Mobile,28,No,18617,318,72222,0.888894912448014,374,Good,0.2914146339857667,41-50,60K-80K,True,0.0034776982490193,21-40%,Very High,1
79,27,Male,91610,Self-Employed,South,Checking,3,19951,286,9602,9312,Mobile,26,No,767,4443,38257,0.6274204215574297,576,Average,0.2334731471166001,18-30,80K-100K,False,0.014335121046564,21-40%,High,1
80,53,Male,71500,Student,South,Checking,4,19531,294,317,2064,Mobile,19,Yes,514,3460,20688,0.5762612153159085,638,Good,0.6457003730013566,51-60,60K-80K,False,0.0150529926783062,61-80%,Medium,1
81,31,Female,59618,Professional,North,Checking,4,40164,209,2631,1904,Mobile,14,No,1808,3988,10213,0.0448504865030198,747,Average,0.6640987405837532,31-40,40K-60K,False,0.0052036649736082,61-80%,Very Low,1
85,25,Female,105982,Student,West,Checking,3,42091,336,5289,7756,Online,16,No,16022,3235,38736,0.6502202984108292,568,Average,0.5250675987773479,18-30,100K-150K,False,0.0079827041410277,41-60%,High,1
86,31,Female,114079,Retired,South,Checking,3,16595,140,9322,8707,Online,4,No,10827,1892,40307,0.5315812144210212,468,Good,0.173141981697474,31-40,100K-150K,False,0.0084362759867429,0-20%,Medium,1
89,38,Male,21617,Self-Employed,West,Checking,4,26407,206,6342,9086,Mobile,26,No,17255,726,91158,0.9662030770780096,592,Average,0.064896953300306,31-40,20K-40K,True,0.0078009618661718,0-20%,Very High,1
90,33,Male,148639,Professional,East,Checking,4,29337,36,414,8854,Branch,6,No,19755,3610,60998,0.1119115395396865,538,Good,0.7768475120158763,31-40,100K-150K,True,0.0012271193373555,61-80%,Very Low,1
92,35,Male,23333,Unemployed,Central,Checking,4,23698,196,325,8107,Branch,28,No,16516,3404,24509,0.5380523671051772,758,Good,0.1477171560438288,31-40,20K-40K,False,0.0082707401468478,0-20%,Medium,1
94,41,Male,144477,Student,West,Checking,3,10809,95,8514,5569,Branch,7,No,271,3745,46591,0.7390600525252848,394,Good,0.5476769640945495,41-50,100K-150K,False,0.0087889721528356,41-60%,High,1
98,58,Male,20511,Self-Employed,North,Checking,4,18538,39,8379,3155,Branch,9,Yes,7023,785,11785,0.293470775576528,673,Poor,0.9569693271151144,51-60,20K-40K,False,0.0021037868162692,81-100%,Low,1
100,32,Male,57850,Professional,East,Checking,3,31468,224,579,4290,Mobile,20,Yes,12627,980,17451,0.0618611515455794,435,Poor,0.5548292843172498,31-40,40K-60K,False,0.0071183424431168,41-60%,Very Low,1
102,18,Male,102172,Unemployed,North,Checking,4,33744,110,6898,8173,Branch,25,Yes,1034,3263,56898,0.210107794226148,456,Poor,0.6154002376620763,,100K-150K,True,0.0032598387861545,61-80%,Low,1
103,42,Female,106053,Student,West,Checking,3,23020,492,639,2183,Mobile,20,Yes,11505,3216,7846,0.6519075850138928,553,Good,0.8795597928159689,41-50,100K-150K,False,0.0213727193744569,81-100%,High,1
105,26,Female,94356,Professional,Central,Checking,4,36116,56,189,3039,Branch,24,No,17072,2825,88362,0.7864935895449993,364,Average,0.5691464441145911,18-30,80K-100K,True,0.0015505593088935,41-60%,High,1
106,41,Male,56244,Student,South,Savings,3,43943,21,2460,9342,Branch,6,No,1907,967,93710,0.5708111802329362,421,Good,0.5765242349023453,41-50,40K-60K,True,0.0004778918143959,41-60%,Medium,1
108,61,Male,87261,Self-Employed,North,Checking,4,5522,13,648,8323,Mobile,4,Yes,15018,2916,52167,0.1400000254151872,552,Good,0.250795599732512,61-70,80K-100K,True,0.0023542194856935,21-40%,Very Low,1
110,41,Female,66533,Student,East,Savings,4,47642,7,1157,671,Branch,4,No,7826,3264,86680,0.8388336632951108,708,Good,0.3247844280606491,41-50,60K-80K,True,0.0001469291801351,21-40%,Very High,1
112,68,Male,28496,Retired,South,Savings,4,5163,186,5726,8308,Mobile,14,Yes,3787,1770,34527,0.1292188771201365,661,Poor,0.3416015891907589,61-70,20K-40K,False,0.0360255665310865,21-40%,Very Low,1
113,34,Male,140522,Self-Employed,West,Savings,4,44750,296,5145,1640,Mobile,18,No,12247,1385,52547,0.9802617254090906,595,Average,0.6664881956196336,31-40,100K-150K,True,0.0066145251396648,61-80%,Very High,1
114,25,Male,32270,Self-Employed,North,Checking,3,16172,171,4311,4148,Branch,8,No,19305,2074,9542,0.3208034194347495,536,Good,0.2974818741953974,18-30,20K-40K,False,0.0105738313133811,21-40%,Low,1
115,52,Male,96008,Professional,Central,Savings,4,38254,255,2261,1178,Branch,27,Yes,13969,111,88570,0.2410073748165475,303,Average,0.4887309992555491,51-60,80K-100K,True,0.0066659695718094,41-60%,Low,1
117,50,Female,50416,Unemployed,East,Checking,3,14737,85,9857,230,Mobile,14,Yes,1818,132,26551,0.4264912750208646,692,Poor,0.9133491900035936,41-50,40K-60K,False,0.0057677953450498,81-100%,Medium,1
119,59,Female,101190,Self-Employed,North,Savings,4,43926,122,6722,6822,Online,21,Yes,3332,4619,32714,0.5497825105674471,341,Average,0.4162545838148435,51-60,100K-150K,False,0.0027773983517734,41-60%,Medium,1
122,45,Female,140989,Student,Central,Checking,4,17097,199,7427,2523,Branch,26,No,4488,3184,26764,0.7419012089209923,525,Average,0.7402273712917352,41-50,100K-150K,False,0.0116394689126747,61-80%,High,1
123,24,Male,93108,Retired,North,Checking,4,22895,145,7616,4840,Branch,26,Yes,16947,1138,14712,0.214170545574506,596,Average,0.9571170314552648,18-30,80K-100K,False,0.0063332605372352,81-100%,Low,1
130,40,Female,59492,Professional,North,Savings,3,41946,52,356,4190,Mobile,24,Yes,16168,4727,16253,0.4689623666332003,440,Poor,0.929259227109108,31-40,40K-60K,False,0.0012396891241119,81-100%,Medium,1
131,41,Male,94781,Self-Employed,North,Checking,3,12116,20,5791,2634,Branch,9,No,1507,4324,95291,0.9476296052050244,449,Average,0.8385641482259792,41-50,80K-100K,True,0.0016507098052162,81-100%,Very High,1
133,52,Female,137255,Unemployed,East,Savings,3,47054,413,2193,5980,Branch,9,Yes,10245,3669,66566,0.9381695244584298,771,Poor,0.9926685722926112,51-60,100K-150K,True,0.0087771496578399,81-100%,Very High,1
134,61,Male,62864,Retired,Central,Savings,4,7599,197,8306,8945,Mobile,6,No,6705,2720,31225,0.8734820690011452,639,Poor,0.6636799430133407,61-70,60K-80K,False,0.0259244637452296,61-80%,Very High,1
135,57,Female,114482,Professional,South,Savings,4,9646,287,2996,6291,Mobile,18,No,7614,171,23747,0.7650364517195424,555,Average,0.7795325638713042,51-60,100K-150K,False,0.0297532656023222,61-80%,High,1
136,39,Female,57355,Self-Employed,South,Checking,4,24038,18,2775,4542,Mobile,1,No,5413,2578,64379,0.6873718203563239,631,Good,0.2187241000285121,31-40,40K-60K,True,0.000748814377236,21-40%,High,1
138,52,Male,57814,Professional,Central,Savings,3,14222,371,2148,2510,Branch,6,No,12479,444,68361,0.118468254847499,464,Poor,0.5484840899124142,51-60,40K-60K,True,0.0260863450991421,41-60%,Very Low,1
139,18,Male,51645,Student,Central,Checking,4,5304,232,2224,7756,Online,18,No,1861,2981,73213,0.4863415524522843,799,Average,0.6748273572158939,,40K-60K,True,0.0437405731523378,61-80%,Medium,1
140,52,Female,104814,Unemployed,Central,Savings,3,33689,120,3885,5243,Branch,22,Yes,870,555,61281,0.0239897796849849,566,Average,0.4842670893105351,51-60,100K-150K,True,0.003561993529045,41-60%,Very Low,1
141,54,Male,92739,Self-Employed,West,Checking,4,39200,377,9287,3709,Mobile,17,Yes,19617,3312,8601,0.4890585064374182,552,Poor,0.8491058556860527,51-60,80K-100K,False,0.0096173469387755,81-100%,Medium,1
143,31,Female,68171,Unemployed,Central,Checking,3,23007,310,7084,1218,Mobile,16,No,8595,3279,75743,0.4023692198601418,807,Good,0.1115928933650614,31-40,60K-80K,True,0.0134741600382492,0-20%,Medium,1
144,20,Female,41658,Student,Central,Checking,3,45297,228,1765,4576,Online,22,Yes,8253,546,63428,0.1256652322273966,512,Average,0.6236491489832674,18-30,40K-60K,True,0.005033445923571,61-80%,Very Low,1
145,18,Female,143980,Professional,Central,Checking,4,15630,33,6318,4848,Branch,21,No,13188,802,4202,0.6961226914795428,402,Poor,0.0284182256568735,,100K-150K,False,0.0021113243761996,0-20%,High,1
146,22,Female,146541,Student,South,Savings,3,35489,469,2998,3074,Branch,18,Yes,13404,2011,88546,0.8420820419654504,551,Poor,0.0397446048848613,18-30,100K-150K,True,0.0132153625066922,0-20%,Very High,1
148,31,Male,35797,Unemployed,South,Checking,4,48068,493,9623,1402,Mobile,27,Yes,16880,1188,58544,0.5796397869472893,564,Average,0.0062763135949077,31-40,20K-40K,True,0.0102563035699425,0-20%,Medium,1
150,44,Female,138301,Professional,North,Savings,4,35197,412,2903,2000,Online,9,No,11798,2503,46055,0.672111410464764,606,Poor,0.4080632094898093,41-50,100K-150K,False,0.0117055430860584,41-60%,High,1
151,26,Male,118342,Self-Employed,North,Checking,3,1648,50,1345,1182,Online,18,Yes,16146,1442,85736,0.3140653801781181,539,Good,0.3938577148166042,18-30,100K-150K,True,0.0303398058252427,21-40%,Low,1
152,32,Male,116494,Self-Employed,West,Checking,4,34123,64,2425,8733,Online,5,No,15695,3857,45156,0.5796675473533315,637,Poor,0.5714412553932746,31-40,100K-150K,False,0.0018755677988453,41-60%,Medium,1
154,43,Female,26265,Student,West,Savings,4,9157,152,8976,2741,Online,2,No,12364,3462,83996,0.6174624797788597,840,Good,0.3677417835857378,41-50,20K-40K,True,0.0165993229223544,21-40%,High,1
155,59,Male,147119,Student,West,Savings,3,16581,56,2465,1900,Branch,26,No,17443,3862,83086,0.466704930061392,451,Average,0.7264484840889546,51-60,100K-150K,True,0.0033773596284904,61-80%,Medium,1
159,56,Male,102678,Self-Employed,South,Checking,4,39037,153,7361,5113,Online,29,No,7970,2765,57576,0.1692443555951461,625,Poor,0.401947463761387,51-60,100K-150K,True,0.0039193585572661,41-60%,Very Low,1
160,66,Female,73494,Professional,West,Checking,4,23763,176,3368,9300,Online,6,No,18238,2600,93077,0.2903174752659712,554,Average,0.860904680298449,61-70,60K-80K,True,0.0074064722467701,81-100%,Low,1
163,21,Male,135452,Student,South,Savings,3,8085,108,7650,533,Branch,7,No,5338,497,42517,0.0026052318250224,652,Average,0.3423784414101433,18-30,100K-150K,False,0.0133580705009276,21-40%,Very Low,1
166,40,Female,114414,Retired,East,Checking,4,8317,124,6880,6644,Branch,14,Yes,9103,944,87327,0.0473283140282508,451,Average,0.6953917176789206,31-40,100K-150K,True,0.0149092220752675,61-80%,Very Low,1
168,62,Male,34306,Retired,Central,Savings,3,19264,41,886,3313,Mobile,17,No,17312,2000,7678,0.5636623153312272,482,Poor,0.7995846893999414,61-70,20K-40K,False,0.0021283222591362,61-80%,Medium,1
169,32,Male,84006,Self-Employed,West,Checking,4,18932,176,6405,3410,Mobile,4,No,4619,908,69143,0.0987064433756877,687,Average,0.4568235288199486,31-40,80K-100K,True,0.0092964293260088,41-60%,Very Low,1
170,60,Female,138717,Professional,South,Savings,3,34149,128,565,7834,Branch,13,No,14694,1850,42095,0.8304408110091931,312,Average,0.9624924029560992,51-60,100K-150K,False,0.0037482795982312,81-100%,Very High,1
171,46,Female,67345,Unemployed,North,Checking,3,35403,282,7665,3663,Branch,28,No,14714,3378,88361,0.0461161277504051,391,Poor,0.2012925376374006,41-50,60K-80K,True,0.0079654266587577,21-40%,Very Low,1
172,53,Male,31885,Self-Employed,East,Savings,3,46561,216,240,483,Branch,7,Yes,18875,2112,86508,0.512673286046456,306,Good,0.6338723976995554,51-60,20K-40K,True,0.004639075621228,61-80%,Medium,1
174,49,Male,63826,Student,South,Savings,4,45618,431,1827,962,Branch,22,No,8760,3225,52447,0.6785038419758362,658,Good,0.1013427084952793,41-50,60K-80K,True,0.0094480249024507,0-20%,High,1
175,24,Male,75597,Professional,North,Savings,4,8417,463,2091,8559,Mobile,26,Yes,12636,561,45896,0.2358129298502939,712,Good,0.9760853720387668,18-30,60K-80K,False,0.0550077224664369,81-100%,Low,1
176,68,Female,27443,Unemployed,South,Checking,3,3637,25,9101,9637,Online,2,No,9726,1268,43115,0.2683990846223595,849,Average,0.4956368250988305,61-70,20K-40K,False,0.00687379708551,41-60%,Low,1
179,19,Male,37084,Professional,South,Savings,4,22233,149,802,5599,Online,7,Yes,10671,2920,20548,0.5274227528510015,620,Average,0.7828252737585306,18-30,20K-40K,False,0.006701749651419,61-80%,Medium,1
181,62,Male,24383,Unemployed,South,Savings,4,27021,146,2181,7089,Mobile,9,Yes,9625,4888,81127,0.1804817574295319,804,Good,0.4365309813718363,61-70,20K-40K,True,0.0054032049146959,41-60%,Very Low,1
182,23,Female,112313,Professional,South,Checking,3,23329,169,9725,7147,Online,22,No,17244,4065,58380,0.4065666951887811,735,Good,0.4699961823597348,18-30,100K-150K,True,0.007244202494749,41-60%,Medium,1
183,45,Female,54361,Unemployed,West,Savings,4,33679,419,9722,4778,Mobile,18,No,14730,3331,46989,0.0433572433137854,694,Poor,0.1708763087968506,41-50,40K-60K,False,0.0124409869651711,0-20%,Very Low,1
184,45,Female,100294,Student,West,Checking,3,13592,392,5255,7369,Mobile,5,Yes,17677,1544,80325,0.1505806650626744,832,Average,0.7812894851365787,41-50,100K-150K,True,0.0288404944084755,61-80%,Very Low,1
185,61,Male,81331,Unemployed,Central,Checking,4,29000,138,364,6123,Mobile,15,Yes,129,1051,5462,0.8325887630460208,839,Average,0.8158705489449799,61-70,80K-100K,False,0.0047586206896551,81-100%,Very High,1
186,61,Male,115057,Student,Central,Savings,3,13891,182,9144,3467,Mobile,1,No,7239,3348,9075,0.9248076789351608,440,Poor,0.9599010878145332,61-70,100K-150K,False,0.0131020084947088,81-100%,Very High,1
190,45,Female,141685,Unemployed,West,Savings,4,8779,339,8298,8121,Branch,2,Yes,14789,3771,45306,0.719583167966004,794,Poor,0.9423366609718008,41-50,100K-150K,False,0.0386148764096138,81-100%,High,1
193,50,Female,120916,Self-Employed,West,Checking,4,20032,28,5979,9663,Branch,17,Yes,18006,1087,36094,0.7371307293570841,514,Average,0.7242462591421689,41-50,100K-150K,False,0.0013977635782747,61-80%,High,1
194,18,Male,50932,Student,West,Checking,3,8824,22,2867,4066,Branch,4,No,10893,1421,88183,0.6800926627876476,358,Good,0.4411374120811852,,40K-60K,True,0.0024932003626473,41-60%,High,1
202,25,Female,148319,Retired,West,Savings,3,7508,93,7558,8616,Online,8,No,5475,4566,35032,0.1249507592566466,632,Average,0.8381588367858717,18-30,100K-150K,False,0.0123867874267448,81-100%,Very Low,1
203,44,Male,103710,Student,West,Savings,4,45927,162,6979,737,Mobile,17,No,1659,1547,24313,0.5992740388260449,794,Poor,0.7498138967862099,41-50,100K-150K,False,0.0035273368606701,61-80%,Medium,1
205,54,Female,101032,Professional,East,Savings,4,13105,418,3209,2142,Mobile,9,Yes,3974,4910,80163,0.792298607225175,407,Poor,0.2458038468004442,51-60,100K-150K,True,0.0318962228157191,21-40%,High,1
210,41,Female,29280,Unemployed,East,Checking,3,23836,397,480,6482,Online,18,Yes,11114,203,83494,0.5909785212242494,429,Good,0.5681038006011241,41-50,20K-40K,True,0.0166554791072327,41-60%,Medium,1
211,32,Female,60449,Self-Employed,North,Savings,3,3217,315,9819,1587,Mobile,6,Yes,17328,2125,4450,0.230689618213128,507,Average,0.6158141880456761,31-40,60K-80K,False,0.0979173142679515,61-80%,Low,1
216,69,Male,113057,Self-Employed,Central,Savings,4,42039,368,3749,824,Mobile,17,No,1531,1446,57766,0.2538835861057786,545,Good,0.6768908623309016,61-70,100K-150K,True,0.0087537762553819,61-80%,Low,1
217,66,Male,118151,Retired,North,Savings,3,30475,87,2305,190,Online,1,No,10885,2166,35668,0.6039574543976066,303,Poor,0.6825775727644514,61-70,100K-150K,False,0.0028547990155865,61-80%,High,1
218,66,Male,130065,Retired,East,Checking,4,7595,241,3539,1869,Online,12,Yes,6754,3374,18133,0.737927954645753,794,Good,0.4796965709253313,61-70,100K-150K,False,0.0317314022383146,41-60%,High,1
220,29,Female,41695,Student,South,Checking,3,18361,243,8914,9638,Branch,13,Yes,437,3644,4649,0.5150098352934903,336,Average,0.5777422673183652,18-30,40K-60K,False,0.0132345732803224,41-60%,Medium,1
223,20,Female,45176,Unemployed,West,Checking,4,20188,152,6892,6789,Online,9,Yes,11672,3294,98503,0.4396471458917996,539,Average,0.468558736108419,18-30,40K-60K,True,0.0075292252823459,41-60%,Medium,1
225,54,Male,144464,Student,South,Checking,3,10345,118,233,2474,Mobile,14,No,2807,2733,79873,0.6994246887108838,624,Good,0.2574153925444289,51-60,100K-150K,True,0.011406476558724,21-40%,High,1
226,66,Female,76967,Student,North,Savings,3,7012,345,4896,3622,Online,5,No,8795,4037,57477,0.0765991777173344,508,Good,0.2054438958315568,61-70,60K-80K,True,0.0492013690815744,21-40%,Very Low,1
228,66,Female,74462,Unemployed,East,Savings,4,42572,483,9567,8972,Branch,27,Yes,15962,4030,88760,0.7923770239556055,383,Poor,0.4723483835611299,61-70,60K-80K,True,0.0113454852954993,41-60%,High,1
230,19,Male,125620,Student,East,Savings,4,43770,88,6391,1391,Mobile,15,No,9921,3284,98977,0.6933119875642723,323,Average,0.059738854158699,18-30,100K-150K,True,0.0020105094813799,0-20%,High,1
232,40,Male,46015,Professional,East,Savings,3,21548,280,8065,2419,Branch,25,Yes,12187,1621,89870,0.1506576672413923,481,Average,0.1010705303295278,31-40,40K-60K,True,0.012994245405606,0-20%,Very Low,1
235,50,Male,86404,Professional,Central,Checking,3,39549,306,6176,8529,Mobile,19,Yes,6952,2363,92759,0.2381642848478177,711,Good,0.4157945087428957,41-50,80K-100K,True,0.007737237351134,41-60%,Low,1
237,36,Female,148807,Professional,South,Checking,4,36974,278,4283,403,Online,14,No,2470,3884,3773,0.8213336010859809,361,Poor,0.0648617209915469,31-40,100K-150K,False,0.0075187969924812,0-20%,Very High,1
240,43,Male,68231,Self-Employed,North,Savings,4,28992,462,4469,9218,Online,10,No,12391,4386,11785,0.3132827650498225,759,Poor,0.3295746381862849,41-50,60K-80K,False,0.0159354304635761,21-40%,Low,1
241,49,Male,49032,Professional,Central,Checking,4,26476,406,8352,2098,Mobile,15,No,4682,3805,89000,0.7460381766575601,737,Good,0.5637001054037488,41-50,40K-60K,True,0.0153346426952711,41-60%,High,1
245,28,Male,141139,Unemployed,Central,Checking,4,31773,135,5540,2849,Branch,9,No,1839,2336,60814,0.5110971651533732,574,Average,0.1841819991750296,18-30,100K-150K,True,0.0042488905674629,0-20%,Medium,1
246,34,Male,38318,Retired,Central,Checking,3,42291,76,7819,7396,Branch,28,Yes,19744,3379,7228,0.2756458451716675,521,Poor,0.6888673916959955,31-40,20K-40K,False,0.0017970726632143,61-80%,Low,1
247,55,Male,33246,Professional,West,Savings,4,34726,247,3210,5161,Branch,16,No,11416,3309,24055,0.60927845724202,417,Good,0.0111753154928122,51-60,20K-40K,False,0.0071128261245176,0-20%,High,1
249,22,Male,52602,Professional,South,Checking,3,43718,178,8399,960,Online,21,No,2667,4160,75030,0.4580980250488046,391,Good,0.3654709555925272,18-30,40K-60K,True,0.0040715494761882,21-40%,Medium,1
250,69,Male,41584,Professional,South,Savings,3,39608,484,8006,5033,Online,28,No,13569,3220,3899,0.3774311933263791,606,Poor,0.7510642767057701,61-70,40K-60K,False,0.0122197535851343,61-80%,Low,1
252,23,Female,35169,Student,East,Savings,4,2855,21,1121,580,Branch,13,No,4597,2220,85261,0.5401517925860111,717,Good,0.8826981287308766,18-30,20K-40K,True,0.0073555166374781,81-100%,Medium,1
