CustomerID,Age,Gender,IncomeLevel,Occupation,GeographicLocation,AccountType,NumberOfAccounts,AverageBalance,TransactionVolume,DepositPatterns,SpendingPatterns,ChannelUsage,EngagementFrequency,ServiceUsage,RevenueContribution,CostToServe,LifetimeValue,ChurnRate,CreditScore,LoanRepaymentHistory,DebtToIncomeRatio
12,28,Female,74033,Student,West,Checking,2,18427,301,9810,4641,Mobile,3,No,2751,3334,78397,0.8394363012525298,831,Poor,0.926309714228126
13,41,Female,49011,Professional,Central,Checking,4,33029,386,9707,1749,Mobile,18,Yes,16964,2393,92664,0.5465886280335965,700,Poor,0.5023789962646786
14,53,Male,122811,Unemployed,South,Checking,1,19889,448,4709,2741,Mobile,22,No,5821,906,91929,0.18694464830297008,536,Average,0.09561868635912385
15,57,Male,54764,Professional,North,Savings,3,45774,176,8731,2873,Online,22,Yes,1396,256,81718,0.018019855784150995,311,Good,0.1621834266971569
16,41,Male,117540,Unemployed,North,Savings,3,12711,127,8730,3940,Online,16,No,7548,3833,10584,0.3518090301001291,420,Good,0.16897838000718102
17,20,Female,73533,Unemployed,South,Checking,1,25142,293,6874,423,Branch,1,No,17570,3478,52592,0.7677356397334916,429,Average,0.30366028868672623
18,39,Male,44064,Self-Employed,South,Checking,3,36455,454,5416,1638,Branch,14,Yes,8195,1927,52616,0.2503838206599108,477,Poor,0.37167463445224735
19,19,Female,143989,Professional,Central,Checking,3,4156,214,5574,555,Online,25,Yes,18305,4068,50068,0.291733572103141,518,Good,0.4643775162051422
20,41,Female,147825,Retired,South,Savings,3,17959,498,7481,7020,Mobile,18,No,5425,4657,22152,0.1200815598865822,691,Average,0.5802315941580484
21,61,Male,69581,Unemployed,East,Savings,1,28921,411,9422,1461,Online,20,Yes,14000,2936,51298,0.7091261264043928,391,Average,0.7871728752047422
22,47,Female,140388,Unemployed,North,Checking,2,12039,68,7475,7592,Online,16,No,16558,2794,73384,0.2865961181490967,462,Good,0.2669192292656247
23,55,Male,48702,Student,South,Savings,3,34170,394,8920,1913,Online,25,Yes,14096,1527,37744,0.6285231781427951,782,Good,0.3362177084709781
24,19,Female,105701,Self-Employed,East,Savings,4,9444,67,3116,712,Online,23,Yes,18604,2240,11439,0.5241406843751518,783,Good,0.7692863761649359
25,38,Female,143482,Retired,South,Savings,2,2629,386,7175,6650,Online,19,Yes,11591,3860,33747,0.9926552940923874,845,Good,0.5712780931739558
26,50,Male,28631,Unemployed,East,Checking,2,25352,431,3180,4787,Branch,26,No,3193,4782,42575,0.9463090273554929,665,Good,0.7204779134474546
27,29,Female,143864,Student,West,Savings,3,49061,413,4337,7752,Mobile,2,Yes,4007,1331,9521,0.3941840763148077,660,Good,0.668455777595715
28,39,Female,107388,Professional,East,Savings,3,36477,471,6061,2639,Branch,27,Yes,15689,3005,3936,0.8021845699297089,549,Poor,0.18301203301866653
29,61,Female,144798,Unemployed,Central,Checking,2,49492,12,3852,6794,Branch,9,No,17238,2022,88702,0.4068294923661697,811,Good,0.584988902004859
30,42,Female,90043,Student,East,Checking,3,46724,249,3583,6781,Online,13,No,15642,1188,42161,0.2697672230846676,617,Good,0.8432361006978001
31,66,Female,86063,Professional,South,Savings,1,22207,169,8996,9306,Branch,18,Yes,15370,3888,3525,0.014586107057853348,613,Average,0.9891583685610641
32,44,Female,48981,Self-Employed,West,Checking,1,12523,478,1023,3435,Mobile,20,No,5902,1315,77535,0.7187805529078048,401,Poor,0.07753482631393716
33,59,Female,55764,Professional,West,Checking,3,31129,97,9657,9784,Mobile,2,Yes,11525,1651,13158,0.28022416011754014,616,Average,0.28746741233059814
34,45,Female,121771,Unemployed,East,Savings,2,5043,447,7959,1175,Mobile,7,No,16942,2524,39400,0.4808075021523245,384,Good,0.005786064621106424
35,33,Male,148787,Retired,South,Checking,3,36427,288,1655,6113,Online,22,No,7586,2509,71511,0.16537604635098524,786,Poor,0.1783629740400846
36,32,Male,70513,Professional,West,Checking,4,6241,313,5160,7673,Branch,13,Yes,4570,2870,80759,0.0651501577278456,705,Poor,0.6670112972850182
37,64,Female,141505,Retired,East,Savings,1,17003,380,3727,3657,Online,8,No,7627,3137,25978,0.7474468084995278,583,Poor,0.45103794282508136
38,68,Female,149014,Retired,East,Savings,2,47596,203,4181,2715,Branch,3,No,406,343,59273,0.293119646337755,804,Good,0.5631463812507616
39,61,Male,133076,Professional,East,Savings,4,42938,128,5919,6798,Branch,14,Yes,15158,4379,17976,0.25499734347429426,376,Good,0.0809360476960177
40,69,Female,119007,Self-Employed,West,Checking,3,4816,59,2117,5776,Mobile,23,Yes,15939,660,27683,0.25921527627119656,658,Poor,0.42719340282191964
41,20,Male,86198,Professional,North,Savings,1,20110,424,4290,9617,Branch,8,Yes,804,479,2072,0.10426306048477607,828,Good,0.19483725974102706
42,54,Male,44940,Student,South,Checking,4,1568,194,8653,8148,Mobile,1,No,14002,4829,66116,0.03178660753103302,331,Good,0.6886619783085908
43,68,Male,127418,Retired,Central,Savings,2,46598,147,7914,132,Online,24,Yes,12819,989,98762,0.18612251633512777,751,Average,0.420131492195005
44,24,Female,91792,Unemployed,Central,Savings,1,5105,314,5825,5346,Branch,27,No,11040,4777,7203,0.800363261304387,534,Average,0.6598119837470925
45,38,Female,48432,Retired,South,Checking,3,46212,321,5785,9922,Branch,11,Yes,8344,3807,95747,0.9808807431332353,605,Poor,0.12186261118273378
46,26,Female,28367,Unemployed,North,Checking,3,36540,101,3765,2943,Mobile,1,No,16788,2073,67124,0.5147302473675459,457,Poor,0.11459877874777058
47,56,Male,131764,Student,South,Savings,1,46196,314,1904,2497,Branch,11,Yes,5343,2302,99947,0.8055228500085081,415,Good,0.5861448095824462
48,35,Male,123601,Student,East,Checking,4,5054,201,8961,7109,Mobile,6,Yes,12555,2344,15515,0.25514220458396975,756,Poor,0.8916822090185652
49,21,Male,45511,Student,South,Savings,1,28262,289,6008,7348,Online,11,Yes,15401,1906,53385,0.6840323064889765,613,Average,0.7456292048091713
50,42,Female,28573,Professional,South,Checking,1,25261,85,899,2838,Branch,18,Yes,7717,1870,97212,0.891039693128181,458,Poor,0.8047059553265544
51,31,Male,35582,Retired,West,Savings,1,21382,113,232,6790,Online,28,Yes,7136,1075,30199,0.6170866969807648,447,Good,0.19946377887748068
52,67,Male,25378,Unemployed,Central,Savings,4,33904,287,3533,592,Online,9,Yes,2811,880,89403,0.7012557191240483,793,Average,0.5089019950401829
53,26,Female,85296,Student,Central,Checking,1,22170,213,6592,9024,Mobile,26,Yes,10411,2690,70477,0.10025460067256065,393,Average,0.8844815304573834
54,43,Male,33500,Student,East,Savings,2,31295,119,8838,7453,Mobile,13,No,14564,4899,28300,0.3572705462040662,374,Poor,0.9364309213348825
55,19,Male,85841,Unemployed,East,Savings,3,26999,456,9054,7395,Branch,10,Yes,18192,1443,7230,0.030964291081892248,769,Poor,0.05703579480236354
56,37,Female,41881,Retired,West,Checking,4,32162,245,5778,8186,Online,10,No,7164,1960,23453,0.16624856604348826,317,Good,0.15947793323533066
57,45,Female,90233,Retired,East,Checking,2,38539,400,6024,369,Mobile,3,Yes,14732,4547,22538,0.29760397216522194,629,Good,0.1032375318176173
58,64,Male,71542,Unemployed,North,Savings,1,18920,386,1167,2971,Branch,4,No,2966,2361,94366,0.9532785673644588,836,Average,0.16946353430583538
59,24,Female,85285,Self-Employed,West,Checking,2,36092,283,1401,5116,Online,10,No,14016,589,71277,0.04054807846665842,737,Poor,0.1573459698299502
60,61,Male,79547,Retired,West,Savings,4,45715,310,6074,3662,Branch,21,Yes,4355,1155,78950,0.45173564243375786,716,Poor,0.47457272232068426
61,25,Female,82151,Unemployed,South,Savings,3,43339,335,9626,8234,Online,19,No,789,1009,55119,0.7714343195912199,586,Poor,0.3345960147399214
62,64,Male,27222,Unemployed,South,Checking,4,10124,488,7504,2289,Online,23,Yes,218,4781,51112,0.5071303995675419,762,Average,0.08053235540099135
63,52,Female,27933,Student,North,Savings,1,13037,208,8557,1661,Branch,18,Yes,2955,3105,41681,0.5862587948760413,760,Good,0.32249237967538247
64,31,Male,103385,Unemployed,West,Savings,1,49781,205,1339,843,Online,7,Yes,195,2900,18913,0.9334963930762062,777,Average,0.900662814707837
65,34,Female,109772,Professional,West,Savings,3,8260,348,216,5891,Mobile,21,No,16260,741,29674,0.6512456382213069,305,Good,0.4626030274098577
66,53,Female,129767,Student,South,Savings,4,40552,470,7523,9664,Branch,25,No,2650,963,68116,0.7575247763591286,689,Poor,0.735266969846582
67,67,Female,118706,Student,Central,Savings,4,41071,159,8023,2379,Online,2,No,19381,3629,55450,0.03949335643236318,734,Average,0.24019258504577334
68,57,Female,98437,Retired,Central,Checking,4,15446,319,8115,2590,Online,25,Yes,18617,3485,46134,0.7956499967618699,730,Poor,0.465890678873252
69,21,Female,26940,Self-Employed,South,Checking,2,10259,269,2074,5802,Online,9,No,1356,325,2021,0.4220597543863043,723,Good,0.8835705099434549
70,19,Female,134326,Retired,East,Savings,3,28514,293,2581,8604,Online,8,Yes,1018,4768,46768,0.019824759794421887,500,Good,0.8964973297613632
71,23,Female,104590,Professional,West,Checking,4,17594,74,7207,8492,Online,21,No,3276,2796,88137,0.8495732333375542,465,Average,0.14987817781699841
72,59,Male,126399,Student,North,Checking,3,11582,183,4429,8294,Branch,3,Yes,11848,3445,93184,0.9566430309901547,578,Poor,0.33589390047723267
73,21,Male,79145,Student,Central,Checking,2,40272,485,708,8195,Branch,12,Yes,18512,3787,12344,0.6033358789359624,368,Poor,0.34037512613893983
74,46,Female,63610,Unemployed,East,Checking,4,49458,172,629,5362,Mobile,28,No,18617,318,72222,0.888894912448014,374,Good,0.2914146339857667
75,35,Female,77520,Self-Employed,West,Savings,2,28382,10,7378,8428,Mobile,10,Yes,5027,966,98479,0.19458166164243051,488,Good,0.4141920657294287
76,43,Male,24544,Self-Employed,East,Checking,1,46563,136,1976,9487,Branch,14,No,16276,3481,2797,0.6038535995248803,302,Average,0.46623327638677503
77,61,Male,110854,Unemployed,West,Checking,1,25807,263,1758,7860,Branch,29,No,2345,2576,46206,0.44943284539226913,460,Average,0.5290089976327388
78,51,Female,74812,Professional,West,Checking,1,18187,145,508,1279,Online,1,Yes,369,4328,50740,0.03659756474535125,420,Average,0.04244228283668283
79,27,Male,91610,Self-Employed,South,Checking,3,19951,286,9602,9312,Mobile,26,No,767,4443,38257,0.6274204215574297,576,Average,0.23347314711660017
80,53,Male,71500,Student,South,Checking,4,19531,294,317,2064,Mobile,19,Yes,514,3460,20688,0.5762612153159085,638,Good,0.6457003730013566
81,31,Female,59618,Professional,North,Checking,4,40164,209,2631,1904,Mobile,14,No,1808,3988,10213,0.044850486503019815,747,Average,0.6640987405837532
82,48,Female,139090,Retired,North,Savings,2,16129,185,4308,149,Online,22,Yes,7382,3912,63805,0.20784550945538727,518,Poor,0.607501048650188
83,65,Female,119054,Retired,East,Checking,2,12042,51,7719,5641,Mobile,20,No,11878,3037,38708,0.28952558078721613,661,Good,0.2057591525988034
84,32,Male,45444,Professional,South,Checking,1,2723,396,4356,9096,Online,6,No,6324,4733,42412,0.1948127926836415,375,Average,0.4175467053236158
85,25,Female,105982,Student,West,Checking,3,42091,336,5289,7756,Online,16,No,16022,3235,38736,0.6502202984108292,568,Average,0.5250675987773479
86,31,Female,114079,Retired,South,Checking,3,16595,140,9322,8707,Online,4,No,10827,1892,40307,0.5315812144210212,468,Good,0.17314198169747408
87,40,Male,76586,Student,West,Savings,2,23748,407,9316,7707,Online,9,No,18258,4219,7742,0.36721083216187567,747,Good,0.9545198352305034
88,57,Female,44789,Unemployed,South,Savings,2,44069,237,8137,1738,Branch,8,No,1812,2443,28824,0.4326015970498026,758,Poor,0.5437817155713308
89,38,Male,21617,Self-Employed,West,Checking,4,26407,206,6342,9086,Mobile,26,No,17255,726,91158,0.9662030770780096,592,Average,0.06489695330030609
90,33,Male,148639,Professional,East,Checking,4,29337,36,414,8854,Branch,6,No,19755,3610,60998,0.11191153953968658,538,Good,0.7768475120158763
91,62,Male,120834,Self-Employed,South,Checking,2,9594,281,5253,2835,Mobile,10,Yes,8686,3161,90857,0.18719936210854216,375,Average,0.9982628910164149
92,35,Male,23333,Unemployed,Central,Checking,4,23698,196,325,8107,Branch,28,No,16516,3404,24509,0.5380523671051772,758,Good,0.14771715604382885
93,64,Male,60002,Retired,Central,Savings,2,39363,411,8770,5942,Online,24,No,8653,3186,29817,0.9776749281103366,352,Average,0.02992945071358577
94,41,Male,144477,Student,West,Checking,3,10809,95,8514,5569,Branch,7,No,271,3745,46591,0.7390600525252848,394,Good,0.5476769640945495
95,43,Female,83620,Student,East,Savings,1,29685,349,6126,9069,Online,11,No,4995,2917,34037,0.8204043153678048,773,Poor,0.05758139689832242
96,42,Female,107688,Unemployed,West,Savings,2,1269,75,4715,4801,Branch,5,Yes,12822,918,25613,0.7327787325265918,544,Poor,0.08520513589739087
97,62,Female,109627,Professional,East,Checking,2,14365,302,6486,7660,Online,14,No,11064,2769,44048,0.0782150993168157,536,Average,0.5360123277518113
98,58,Male,20511,Self-Employed,North,Checking,4,18538,39,8379,3155,Branch,9,Yes,7023,785,11785,0.293470775576528,673,Poor,0.9569693271151145
99,46,Female,132850,Retired,South,Savings,2,49737,390,5178,185,Online,20,Yes,15782,1017,54232,0.5399605595139133,635,Good,0.0793908792214515
100,32,Male,57850,Professional,East,Checking,3,31468,224,579,4290,Mobile,20,Yes,12627,980,17451,0.061861151545579474,435,Poor,0.5548292843172498
101,62,Female,141548,Unemployed,West,Savings,1,25284,203,408,8337,Online,26,Yes,6702,4194,23343,0.39870866531576055,523,Average,0.5086890078505217
102,18,Male,102172,Unemployed,North,Checking,4,33744,110,6898,8173,Branch,25,Yes,1034,3263,56898,0.210107794226148,456,Poor,0.6154002376620763
103,42,Female,106053,Student,West,Checking,3,23020,492,639,2183,Mobile,20,Yes,11505,3216,7846,0.6519075850138928,553,Good,0.8795597928159689
104,24,Male,51786,Retired,Central,Checking,1,7772,336,7409,8301,Online,20,Yes,16717,2129,45829,0.09845980346570737,556,Average,0.4728930796472566
105,26,Female,94356,Professional,Central,Checking,4,36116,56,189,3039,Branch,24,No,17072,2825,88362,0.7864935895449993,364,Average,0.5691464441145911
106,41,Male,56244,Student,South,Savings,3,43943,21,2460,9342,Branch,6,No,1907,967,93710,0.5708111802329362,421,Good,0.5765242349023453
107,18,Female,94714,Retired,South,Checking,2,39826,346,8471,8882,Online,7,No,9151,1618,83332,0.3730002381672345,649,Average,0.140246193514579
108,61,Male,87261,Self-Employed,North,Checking,4,5522,13,648,8323,Mobile,4,Yes,15018,2916,52167,0.1400000254151872,552,Good,0.250795599732512
109,25,Female,38477,Self-Employed,Central,Checking,2,3163,184,101,4241,Branch,17,No,10613,3809,79121,0.671599095377238,656,Average,0.21827167696307315
110,41,Female,66533,Student,East,Savings,4,47642,7,1157,671,Branch,4,No,7826,3264,86680,0.8388336632951108,708,Good,0.3247844280606491
111,28,Female,54469,Professional,Central,Checking,1,16577,282,7852,7335,Branch,20,No,10902,1807,54847,0.8480676297729514,617,Poor,0.23138531456650946
112,68,Male,28496,Retired,South,Savings,4,5163,186,5726,8308,Mobile,14,Yes,3787,1770,34527,0.12921887712013658,661,Poor,0.3416015891907589
113,34,Male,140522,Self-Employed,West,Savings,4,44750,296,5145,1640,Mobile,18,No,12247,1385,52547,0.9802617254090906,595,Average,0.6664881956196336
114,25,Male,32270,Self-Employed,North,Checking,3,16172,171,4311,4148,Branch,8,No,19305,2074,9542,0.32080341943474955,536,Good,0.2974818741953974
115,52,Male,96008,Professional,Central,Savings,4,38254,255,2261,1178,Branch,27,Yes,13969,111,88570,0.24100737481654755,303,Average,0.4887309992555491
116,52,Male,40724,Student,East,Checking,1,15295,278,8230,1485,Mobile,5,No,4484,1401,38020,0.37068338826359626,646,Average,0.9040069883626891
117,50,Female,50416,Unemployed,East,Checking,3,14737,85,9857,230,Mobile,14,Yes,1818,132,26551,0.4264912750208646,692,Poor,0.9133491900035937
118,22,Male,55575,Retired,East,Checking,2,11853,31,694,2645,Online,9,Yes,15148,4638,57096,0.5854010587947093,392,Good,0.8929250203557035
119,59,Female,101190,Self-Employed,North,Savings,4,43926,122,6722,6822,Online,21,Yes,3332,4619,32714,0.5497825105674471,341,Average,0.4162545838148435
120,56,Female,96614,Unemployed,East,Savings,1,27927,231,6107,7552,Online,20,No,9000,2751,17598,0.16792067597003746,799,Poor,0.7021343715267493
121,58,Male,113566,Professional,East,Savings,1,19810,356,5371,6891,Online,3,No,13050,3309,19641,0.279221471146057,586,Good,0.2968781188542965
122,45,Female,140989,Student,Central,Checking,4,17097,199,7427,2523,Branch,26,No,4488,3184,26764,0.7419012089209923,525,Average,0.7402273712917352
123,24,Male,93108,Retired,North,Checking,4,22895,145,7616,4840,Branch,26,Yes,16947,1138,14712,0.214170545574506,596,Average,0.9571170314552648
124,26,Male,37408,Professional,West,Savings,2,37951,277,6925,7581,Online,17,Yes,6014,4364,70932,0.6931969070982966,767,Poor,0.8518220645373953
125,25,Male,147192,Student,West,Savings,2,28253,321,4382,9633,Branch,27,No,8679,579,19890,0.7571570676175394,840,Poor,0.21334622051933672
126,29,Female,39359,Professional,East,Checking,2,39679,406,6582,9085,Mobile,23,No,5021,3139,75725,0.7533380346957145,503,Good,0.5155758449909079
127,51,Male,28698,Self-Employed,South,Savings,2,14964,247,7436,7537,Mobile,25,No,14263,986,53017,0.7405247728365042,593,Good,0.8527616653064135
128,50,Male,90392,Self-Employed,North,Checking,2,13912,21,5020,3644,Online,18,Yes,17430,3754,78900,0.2595181960188573,455,Good,0.8115578359165446
129,65,Male,113063,Unemployed,South,Checking,2,38976,188,152,3715,Branch,4,Yes,8526,4732,47561,0.42150858138175384,529,Average,0.33875645046145164
130,40,Female,59492,Professional,North,Savings,3,41946,52,356,4190,Mobile,24,Yes,16168,4727,16253,0.46896236663320034,440,Poor,0.9292592271091079
131,41,Male,94781,Self-Employed,North,Checking,3,12116,20,5791,2634,Branch,9,No,1507,4324,95291,0.9476296052050243,449,Average,0.8385641482259792
132,54,Female,63634,Student,Central,Checking,1,37660,474,7855,2956,Mobile,11,Yes,11955,1294,72075,0.3291089127057705,425,Average,0.05161566221018932
133,52,Female,137255,Unemployed,East,Savings,3,47054,413,2193,5980,Branch,9,Yes,10245,3669,66566,0.9381695244584298,771,Poor,0.9926685722926113
134,61,Male,62864,Retired,Central,Savings,4,7599,197,8306,8945,Mobile,6,No,6705,2720,31225,0.8734820690011452,639,Poor,0.6636799430133407
135,57,Female,114482,Professional,South,Savings,4,9646,287,2996,6291,Mobile,18,No,7614,171,23747,0.7650364517195424,555,Average,0.7795325638713042
136,39,Female,57355,Self-Employed,South,Checking,4,24038,18,2775,4542,Mobile,1,No,5413,2578,64379,0.6873718203563239,631,Good,0.21872410002851217
137,44,Male,57690,Student,West,Checking,1,20630,352,4207,5513,Online,4,Yes,2304,4758,31653,0.4959444761025069,656,Average,0.992561649727683
138,52,Male,57814,Professional,Central,Savings,3,14222,371,2148,2510,Branch,6,No,12479,444,68361,0.11846825484749901,464,Poor,0.5484840899124142
139,18,Male,51645,Student,Central,Checking,4,5304,232,2224,7756,Online,18,No,1861,2981,73213,0.4863415524522843,799,Average,0.6748273572158939
140,52,Female,104814,Unemployed,Central,Savings,3,33689,120,3885,5243,Branch,22,Yes,870,555,61281,0.023989779684984947,566,Average,0.4842670893105351
141,54,Male,92739,Self-Employed,West,Checking,4,39200,377,9287,3709,Mobile,17,Yes,19617,3312,8601,0.4890585064374182,552,Poor,0.8491058556860527
142,64,Female,76630,Self-Employed,Central,Checking,2,36618,495,3049,781,Online,29,No,2004,3822,74031,0.6314406213017393,576,Good,0.2535874397023157
143,31,Female,68171,Unemployed,Central,Checking,3,23007,310,7084,1218,Mobile,16,No,8595,3279,75743,0.40236921986014185,807,Good,0.1115928933650614
144,20,Female,41658,Student,Central,Checking,3,45297,228,1765,4576,Online,22,Yes,8253,546,63428,0.12566523222739667,512,Average,0.6236491489832674
145,18,Female,143980,Professional,Central,Checking,4,15630,33,6318,4848,Branch,21,No,13188,802,4202,0.6961226914795428,402,Poor,0.028418225656873575
146,22,Female,146541,Student,South,Savings,3,35489,469,2998,3074,Branch,18,Yes,13404,2011,88546,0.8420820419654504,551,Poor,0.03974460488486131
147,43,Male,128132,Professional,East,Savings,2,19410,32,7541,5955,Branch,12,No,18646,1521,45673,0.6414989007168083,774,Good,0.21198812293480673
148,31,Male,35797,Unemployed,South,Checking,4,48068,493,9623,1402,Mobile,27,Yes,16880,1188,58544,0.5796397869472893,564,Average,0.0062763135949077675
149,56,Female,78799,Retired,Central,Savings,2,18534,409,5936,5384,Online,20,Yes,19837,1158,33409,0.42349461490586215,595,Poor,0.07254569094649532
150,44,Female,138301,Professional,North,Savings,4,35197,412,2903,2000,Online,9,No,11798,2503,46055,0.672111410464764,606,Poor,0.40806320948980934
151,26,Male,118342,Self-Employed,North,Checking,3,1648,50,1345,1182,Online,18,Yes,16146,1442,85736,0.31406538017811814,539,Good,0.39385771481660425
152,32,Male,116494,Self-Employed,West,Checking,4,34123,64,2425,8733,Online,5,No,15695,3857,45156,0.5796675473533315,637,Poor,0.5714412553932746
153,32,Female,72236,Self-Employed,South,Checking,1,3823,359,7625,3883,Online,3,Yes,12626,1961,66000,0.3334212545177233,705,Average,0.25820510177823475
154,43,Female,26265,Student,West,Savings,4,9157,152,8976,2741,Online,2,No,12364,3462,83996,0.6174624797788597,840,Good,0.36774178358573784
155,59,Male,147119,Student,West,Savings,3,16581,56,2465,1900,Branch,26,No,17443,3862,83086,0.466704930061392,451,Average,0.7264484840889546
156,30,Male,145611,Student,North,Savings,2,41311,154,3238,3449,Branch,24,No,11980,986,7911,0.22893565807229355,806,Good,0.23784961442879282
157,68,Female,92134,Self-Employed,South,Checking,2,28961,328,8434,4782,Online,10,Yes,3985,602,32774,0.2707075491775319,714,Average,0.02276106013047363
158,49,Male,120719,Professional,East,Checking,1,45894,148,8445,8089,Online,25,Yes,13701,3034,60437,0.7273707036856946,482,Good,0.20117593418592727
159,56,Male,102678,Self-Employed,South,Checking,4,39037,153,7361,5113,Online,29,No,7970,2765,57576,0.16924435559514617,625,Poor,0.401947463761387
160,66,Female,73494,Professional,West,Checking,4,23763,176,3368,9300,Online,6,No,18238,2600,93077,0.2903174752659712,554,Average,0.860904680298449
161,69,Female,141754,Student,Central,Checking,2,4934,322,4573,9329,Branch,13,No,11324,1756,37992,0.7234389189886706,527,Average,0.7345208765007425
162,49,Female,72268,Retired,West,Savings,2,22998,153,5826,1202,Mobile,5,Yes,19776,2225,79647,0.027614724194955698,706,Average,0.6364326842735165
163,21,Male,135452,Student,South,Savings,3,8085,108,7650,533,Branch,7,No,5338,497,42517,0.0026052318250224804,652,Average,0.3423784414101433
164,47,Female,46998,Unemployed,North,Savings,1,47800,493,8285,8768,Online,19,Yes,14587,3255,66879,0.39450030899720645,763,Average,0.6927381321058419
165,54,Male,111426,Professional,South,Checking,2,17650,143,8825,4033,Online,6,No,11615,3955,62878,0.9491997399788674,463,Good,0.5779520875162227
166,40,Female,114414,Retired,East,Checking,4,8317,124,6880,6644,Branch,14,Yes,9103,944,87327,0.047328314028250884,451,Average,0.6953917176789206
167,56,Female,81339,Student,Central,Savings,2,30486,448,7069,8036,Branch,7,No,1829,676,78389,0.8970431251198359,662,Good,0.9985475177783935
168,62,Male,34306,Retired,Central,Savings,3,19264,41,886,3313,Mobile,17,No,17312,2000,7678,0.5636623153312272,482,Poor,0.7995846893999414
169,32,Male,84006,Self-Employed,West,Checking,4,18932,176,6405,3410,Mobile,4,No,4619,908,69143,0.09870644337568779,687,Average,0.4568235288199486
170,60,Female,138717,Professional,South,Savings,3,34149,128,565,7834,Branch,13,No,14694,1850,42095,0.8304408110091931,312,Average,0.9624924029560993
171,46,Female,67345,Unemployed,North,Checking,3,35403,282,7665,3663,Branch,28,No,14714,3378,88361,0.04611612775040519,391,Poor,0.20129253763740063
172,53,Male,31885,Self-Employed,East,Savings,3,46561,216,240,483,Branch,7,Yes,18875,2112,86508,0.512673286046456,306,Good,0.6338723976995554
173,30,Female,129681,Retired,West,Savings,1,11476,198,7902,9158,Online,10,Yes,5921,3522,72973,0.6184954251073206,504,Poor,0.3289610357320656
174,49,Male,63826,Student,South,Savings,4,45618,431,1827,962,Branch,22,No,8760,3225,52447,0.6785038419758362,658,Good,0.10134270849527938
175,24,Male,75597,Professional,North,Savings,4,8417,463,2091,8559,Mobile,26,Yes,12636,561,45896,0.2358129298502939,712,Good,0.9760853720387667
176,68,Female,27443,Unemployed,South,Checking,3,3637,25,9101,9637,Online,2,No,9726,1268,43115,0.2683990846223595,849,Average,0.49563682509883056
177,39,Male,117375,Student,North,Checking,1,48893,421,9562,5618,Branch,29,Yes,2529,1171,43150,0.848601063440703,391,Good,0.4178294635869457
178,45,Male,136005,Unemployed,South,Checking,2,6570,245,2981,3589,Online,8,Yes,16782,3716,45295,0.35558807200205444,579,Poor,0.14716376566941702
179,19,Male,37084,Professional,South,Savings,4,22233,149,802,5599,Online,7,Yes,10671,2920,20548,0.5274227528510015,620,Average,0.7828252737585306
180,59,Female,109447,Retired,West,Checking,2,39818,296,8461,1089,Online,18,No,13628,4909,7492,0.44574108987361494,540,Good,0.2207334254900506
181,62,Male,24383,Unemployed,South,Savings,4,27021,146,2181,7089,Mobile,9,Yes,9625,4888,81127,0.18048175742953199,804,Good,0.4365309813718363
182,23,Female,112313,Professional,South,Checking,3,23329,169,9725,7147,Online,22,No,17244,4065,58380,0.4065666951887811,735,Good,0.46999618235973484
183,45,Female,54361,Unemployed,West,Savings,4,33679,419,9722,4778,Mobile,18,No,14730,3331,46989,0.04335724331378543,694,Poor,0.17087630879685067
